Country,Region,Place_Name,Station_Name,WMO,Latitude,Longitude,Elevation
Afghanistan,BAL,Kyzylabad|Mazar-I-Sharif|Qizilābād,Kyzylabad,40911.0,36.7,67.2,392.3
Afghanistan,BAL,Shor-Tipa|Shor Tepe,Shor-Tipa,40910.0,37.333,66.85,274.0
Afghanistan,BAM,Gorvana|Sar Āsyāb,Gorvana,40945.0,34.81666666666667,67.81666666666666,2573.0
Afghanistan,BAM,Kala-Nau|Pan Jao|Dahan-e Mūr,Kala-Nau,40946.0,34.3980556,67.0219444,2813.0
Afghanistan,BDG,Chākarān|Qala-I-Naw|Qala i Naw,Chakaran,40937.0,35.0,63.11666666666667,904.7
Afghanistan,BDG,Kabuli Farari,Kabuli Farari,40923.0,35.583333333333336,63.31666666666667,475.0
Afghanistan,BDG,Towraghondt|Towraghondi|Tōraghūnḏī,Towraghondt,40921.0,35.233333333333334,62.28333333333333,684.0
Afghanistan,BDG,Zaysalekh|Qades|Qādis,Zaysalekh,40939.0,34.8,63.4166667,1284.0
Afghanistan,BDS,Feyzabad|Kūrī,Feyzabad,40904.0,37.11666666666667,70.51666666666667,1171.1
Afghanistan,BDS,Gāwin Darah|Iskachem|Gāwen Darah,Eshkashem,40918.0,36.7,71.56666666666666,2620.0
Afghanistan,BDS,Keshm|Balūch,Keshm,40917.0,36.85,70.0833333,908.0
Afghanistan,BDS,Kevron|Darwaz|Nūsay,Kevron,40900.0,38.4616667,70.8819444,1533.0
Afghanistan,BDS,Namaz-i-Pas|Khwahan|Sang Āb,Namaz-i-Pas,40901.0,37.8833333,70.2,970.0
Afghanistan,BDS,Shighnan|Sheghnan|Sar Chashmah,Shighnan,40905.0,37.56666666666667,71.5,2042.0
Afghanistan,BDS,Urūsak|Fayzabad,Urūsak,99881.0,37.117,70.567,1200.0
Afghanistan,BDS,Zebak|Istich,Zebak,40920.0,36.5,71.25,4412.0
Afghanistan,BGL,Puzayi-Ishan|Baghlan-Farm|Pōzah-ye Ayshān,Puzayi-Ishan,40914.0,36.1,68.65,554.0
Afghanistan,BGL,Salangi-Shamali|North-Salang Tunnel|Sālang-e Shamālī,Salangi-Shamali,40930.0,35.31666666666667,69.01666666666667,3366.0
Afghanistan,FRA,Farah|Kalayi-Gulyamsheykhi,Farah,40974.0,32.36666666666667,62.18333333333333,674.2
Afghanistan,FRA,Kalayi-Mirza-Aslam|Shindand|Qal‘ah-ye Mīrzā Aslam,Kalayi-Mirza-Aslam,40957.0,33.4,62.28333333333333,1152.2
Afghanistan,FRA,Qal‘ah-ye Gīm|Gulistan|Qal‘ah-ye Kuhnah,Qal‘ah-ye Gīm,40975.0,32.6166667,63.6666667,1424.0
